Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-57.6862,1.5968,-56.0894
2,-55.987,1.8786,-54.1084
3,-48.0784,0.2696,-47.808800000000005
4,-55.5673,1.0069,-54.5604
5,-50.5834,1.2788,-49.3046
6,-53.9158,1.0837,-52.8321
7,-51.3937,1.0529,-50.3408
8,-54.9781,1.2723,-53.705799999999996
9,-57.7466,1.7677,-55.9789
10,-53.0723,0.9126,-52.1597
11,-53.4118,1.2798,-52.132
12,-56.2565,2.0892,-54.167300000000004
13,-55.887,2.3856,-53.501400000000004
14,-53.6169,0.5817,-53.0352
15,-52.3587,1.4599,-50.8988
16,-51.8365,1.5826,-50.2539
17,-45.7235,0.4874,-45.2361
18,-48.122,0.3163,-47.8057
19,-51.4203,0.7465,-50.6738
20,-49.1128,1.0776,-48.0352
21,-58.3727,2.3789,-55.9938
22,-49.9548,0.552,-49.4028
23,-44.4066,0.3088,-44.0978
24,-51.8892,1.1831,-50.7061
25,-50.6582,1.0245,-49.6337
26,-52.4243,0.7124,-51.7119
27,-57.12,2.4718,-54.648199999999996
28,-48.739,0.3881,-48.350899999999996
29,-46.0687,0.4446,-45.6241
30,-51.9332,0.5608,-51.3724
31,-51.7759,2.1444,-49.6315
32,-54.0851,1.5002,-52.5849
33,-43.6501,0.0827,-43.5674
34,-61.6829,3.6324,-58.0505
35,-51.5276,0.5881,-50.9395
36,-51.7377,1.13,-50.607699999999994
37,-57.4268,1.465,-55.9618
38,-49.535,0.6374,-48.8976
39,-51.8482,1.1477,-50.7005
40,-56.4,1.4091,-54.990899999999996
41,-60.4195,1.8405,-58.579
42,-53.5294,0.828,-52.7014
43,-57.7012,2.1377,-55.5635
44,-51.556,0.9381,-50.6179
45,-56.1465,1.3586,-54.7879
46,-46.3602,0.1525,-46.207699999999996
47,-50.5625,0.6385,-49.924
48,-54.3912,0.6657,-53.7255
49,-48.1192,0.2942,-47.825
50,-46.5075,0.1325,-46.375
51,-46.2555,0.1457,-46.1098
52,-51.035,0.4207,-50.6143
53,-58.0618,1.6877,-56.3741
54,-61.6796,2.7154,-58.9642
55,-53.9667,1.109,-52.8577
56,-52.6417,0.68,-51.9617
57,-43.8615,-0.0408,-43.9023
58,-55.1559,1.1242,-54.0317
59,-46.5541,0.3367,-46.2174
60,-51.879,0.7556,-51.1234
61,-53.188,1.5317,-51.6563
62,-48.5059,0.4072,-48.098699999999994
63,-57.728,2.4662,-55.2618
64,-57.603,1.891,-55.712
65,-56.3084,1.3029,-55.0055
66,-53.7746,0.8292,-52.9454
67,-54.7027,0.9484,-53.7543
68,-55.7743,1.5543,-54.22
69,-55.8636,1.0883,-54.7753
70,-50.2258,1.1071,-49.1187
71,-56.5549,1.9482,-54.606700000000004
72,-53.961,1.3226,-52.6384
73,-46.6779,0.5067,-46.1712
74,-44.9487,0.1099,-44.8388
75,-55.0735,1.0791,-53.994400000000006
76,-52.0066,0.8581,-51.1485
77,-56.8478,2.1048,-54.743
78,-57.3943,1.9062,-55.4881
79,-63.4736,3.7338,-59.739799999999995
80,-47.2588,0.3817,-46.8771
81,-59.5702,1.9858,-57.5844
82,-48.9291,0.5333,-48.3958
83,-54.0502,1.486,-52.5642
84,-56.7139,1.2793,-55.4346
85,-48.0177,0.4828,-47.5349
86,-49.8433,0.5463,-49.297
87,-55.8449,1.499,-54.3459
88,-50.8865,0.9607,-49.925799999999995
89,-49.6773,0.5341,-49.1432
90,-51.0872,0.4276,-50.659600000000005
91,-53.9163,1.0079,-52.9084
92,-52.0246,0.6236,-51.400999999999996
93,-53.6652,0.744,-52.9212
