Frame,LIE_00001[EELEC],LIE_00001[EVDW],[ETOTAL]
1,-21.6557,1.1651,-20.4906
2,-17.5212,-0.4437,-17.9649
3,-16.8354,-0.2408,-17.0762
4,-17.8053,0.8509,-16.9544
5,-12.1814,-0.9087,-13.0901
6,-20.0335,2.2271,-17.8064
7,-20.1864,1.1407,-19.0457
8,-15.9034,-0.7408,-16.644199999999998
9,-20.6865,1.5191,-19.1674
10,-18.0807,-0.3393,-18.42
11,-17.7289,-0.169,-17.8979
12,-20.5965,1.0448,-19.5517
13,-15.9496,-0.7058,-16.6554
14,-17.4105,-0.5457,-17.9562
15,-17.6138,0.1599,-17.4539
16,-21.1556,1.3012,-19.8544
17,-17.8146,-0.2855,-18.100099999999998
18,-17.3787,-0.4489,-17.827599999999997
19,-19.942,1.3284,-18.6136
20,-17.5637,0.0984,-17.4653
21,-19.1899,0.808,-18.3819
22,-15.8885,-0.6052,-16.4937
23,-19.1515,0.6902,-18.461299999999998
24,-18.5244,-0.1961,-18.7205
25,-15.4795,-0.5796,-16.0591
26,-16.5827,-0.6965,-17.2792
27,-19.6648,0.1691,-19.4957
28,-18.0436,0.0431,-18.000500000000002
29,-20.9334,1.1954,-19.738
30,-19.2337,0.2564,-18.9773
31,-18.6269,0.2854,-18.3415
32,-19.5054,0.192,-19.3134
33,-17.8906,0.1926,-17.698
34,-18.0726,0.2074,-17.8652
35,-21.2434,1.291,-19.9524
36,-18.5682,-0.1423,-18.7105
37,-15.4159,-0.517,-15.9329
38,-18.8241,0.0205,-18.803600000000003
39,-19.4405,0.7307,-18.7098
40,-18.7534,0.3558,-18.3976
41,-16.8738,-0.6807,-17.5545
42,-18.9841,0.5391,-18.445
43,-16.9283,-0.1635,-17.0918
44,-17.1027,-0.4432,-17.5459
45,-20.0231,0.7331,-19.29
46,-18.4033,-0.3939,-18.7972
47,-19.363,-0.0921,-19.455099999999998
48,-21.5044,1.9054,-19.599
49,-15.8275,-0.3823,-16.2098
50,-18.0983,-0.2604,-18.3587
51,-20.2456,2.3004,-17.9452
52,-17.3647,-0.3299,-17.694599999999998
53,-20.3935,0.9329,-19.4606
54,-16.8355,-0.4365,-17.272
55,-19.1278,0.4009,-18.7269
56,-18.9568,1.2929,-17.6639
57,-17.9172,0.1634,-17.753800000000002
58,-21.0662,1.512,-19.554199999999998
59,-13.4619,-0.7526,-14.2145
60,-18.3433,0.0253,-18.317999999999998
61,-12.29,-0.8511,-13.1411
62,-16.3326,-0.4513,-16.7839
63,-20.7881,1.1543,-19.6338
64,-16.5442,-0.6559,-17.2001
65,-16.0358,-0.3674,-16.4032
66,-14.9096,-0.8328,-15.7424
67,-20.6245,0.9447,-19.6798
68,-12.5358,-0.7301,-13.2659
69,-18.5604,-0.2633,-18.823700000000002
70,-15.0896,-0.7811,-15.870700000000001
71,-18.0789,-0.3663,-18.4452
72,-19.9121,0.6374,-19.2747
73,-17.7028,-0.3443,-18.0471
74,-19.1412,0.0475,-19.093700000000002
75,-18.2665,0.3236,-17.9429
76,-16.5638,-0.61,-17.1738
77,-20.5631,1.2613,-19.3018
78,-15.996,-0.7401,-16.7361
79,-17.3589,-0.4913,-17.850199999999997
80,-18.6227,0.2128,-18.409899999999997
81,-20.8093,0.548,-20.2613
82,-16.268,-0.5677,-16.8357
83,-16.9381,-0.4916,-17.429699999999997
84,-17.3951,-0.3653,-17.7604
85,-17.535,-0.4433,-17.9783
86,-16.6493,-0.4919,-17.1412
87,-20.4072,0.4718,-19.9354
88,-19.5585,0.7365,-18.822
89,-19.0522,1.2507,-17.8015
90,-20.2952,0.4716,-19.823600000000003
91,-15.7276,-0.7116,-16.4392
92,-19.8222,2.278,-17.5442
93,-18.7668,2.5119,-16.2549
94,-19.6748,0.2141,-19.460700000000003
95,-16.9207,0.1108,-16.8099
96,-19.4256,0.6249,-18.8007
97,-21.3204,1.8053,-19.5151
98,-21.86,2.9774,-18.8826
99,-16.5098,-0.19,-16.6998
100,-19.3194,0.6263,-18.6931
101,-17.8288,-0.2261,-18.0549
102,-17.9619,-0.4371,-18.399
103,-17.9506,0.4923,-17.4583
104,-19.2026,0.2,-19.0026
105,-18.0226,0.0399,-17.9827
106,-18.1389,-0.2691,-18.408
107,-16.2774,-0.487,-16.7644
108,-16.9343,-0.1931,-17.1274
109,-20.4538,1.6469,-18.806900000000002
110,-19.8929,0.1836,-19.709300000000002
111,-17.6683,-0.3376,-18.005899999999997
112,-17.6367,-0.0389,-17.675600000000003
113,-19.6166,0.126,-19.490599999999997
114,-15.8719,-0.3886,-16.2605
115,-17.2705,-0.3264,-17.596899999999998
116,-17.1496,-0.5321,-17.6817
117,-15.7576,-0.7574,-16.515
118,-14.203,-0.812,-15.014999999999999
119,-16.0564,-0.3909,-16.4473
120,-20.198,1.0678,-19.130200000000002
121,-17.5068,-0.4284,-17.9352
122,-22.9561,3.0644,-19.8917
123,-17.6017,-0.1563,-17.758000000000003
124,-19.1036,-0.0747,-19.1783
125,-18.262,-0.0208,-18.2828
126,-19.0135,0.2499,-18.7636
127,-19.6883,0.2211,-19.467200000000002
128,-15.7248,-0.5979,-16.3227
129,-19.9077,0.9424,-18.9653
130,-17.0116,-0.3136,-17.325200000000002
131,-20.8154,1.0137,-19.8017
132,-17.5454,-0.4055,-17.9509
133,-18.4394,-0.1696,-18.608999999999998
134,-17.2336,-0.3344,-17.567999999999998
135,-19.5213,0.0581,-19.4632
136,-12.7136,-0.9457,-13.6593
137,-15.1744,-0.7546,-15.929
138,-17.0739,-0.6713,-17.745199999999997
139,-18.6359,0.1708,-18.4651
140,-16.9419,-0.3817,-17.3236
141,-20.103,0.5285,-19.5745
142,-20.9616,1.2365,-19.7251
143,-17.1794,-0.2876,-17.467000000000002
144,-20.1925,1.3467,-18.8458
145,-18.8992,-0.169,-19.0682
146,-19.3138,0.4924,-18.8214
147,-18.6337,0.0805,-18.5532
148,-21.3337,0.7322,-20.6015
149,-21.8463,1.4795,-20.366799999999998
150,-14.7825,-0.6518,-15.4343
151,-20.5008,1.6109,-18.8899
152,-16.914,-0.2671,-17.1811
153,-17.8977,-0.2142,-18.111900000000002
154,-17.3673,-0.5344,-17.9017
155,-15.0179,-0.7747,-15.792599999999998
156,-13.8911,-0.8368,-14.7279
157,-18.9312,-0.0611,-18.9923
158,-14.5533,-0.6681,-15.221400000000001
159,-19.4054,1.0102,-18.3952
160,-11.4542,-0.728,-12.1822
161,-20.1501,1.4862,-18.663899999999998
162,-20.1555,0.708,-19.4475
163,-17.1769,-0.1444,-17.3213
164,-15.1553,-0.7779,-15.933200000000001
165,-18.6135,0.3976,-18.215899999999998
166,-17.8654,-0.3721,-18.2375
167,-15.2472,-0.7696,-16.0168
168,-12.3791,-0.8301,-13.2092
169,-15.492,-0.7616,-16.253600000000002
170,-17.4491,-0.4683,-17.9174
171,-13.8427,-0.8162,-14.658900000000001
172,-19.7341,0.7013,-19.0328
173,-21.3527,1.2752,-20.0775
174,-20.3649,1.3733,-18.9916
175,-18.5821,0.3322,-18.2499
176,-16.2272,-0.6665,-16.8937
177,-16.0545,-0.4608,-16.5153
178,-19.0139,-0.1915,-19.2054
179,-14.4839,-0.3146,-14.7985
180,-15.9602,-0.7074,-16.6676
181,-18.5174,-0.0638,-18.5812
182,-17.4861,-0.4459,-17.932000000000002
183,-17.3089,-0.1535,-17.462400000000002
184,-17.9753,-0.4487,-18.424
185,-20.1651,1.2636,-18.9015
186,-19.3178,0.2361,-19.081699999999998
187,-20.452,0.6314,-19.820600000000002
188,-17.4778,-0.5628,-18.040599999999998
189,-20.6923,0.9278,-19.764499999999998
190,-18.2513,0.023,-18.2283
191,-17.3758,-0.4371,-17.812900000000003
192,-20.4676,0.5063,-19.9613
193,-14.5864,-0.8386,-15.424999999999999
194,-16.2737,-0.0982,-16.3719
195,-13.4849,-0.8474,-14.3323
196,-18.6106,-0.0245,-18.6351
197,-17.2857,-0.5745,-17.8602
198,-17.4254,-0.3612,-17.7866
199,-16.5314,-0.6644,-17.195800000000002
200,-18.6273,0.3932,-18.2341
201,-18.4531,-0.211,-18.664099999999998
202,-16.8026,-0.6124,-17.415000000000003
203,-16.5435,-0.5206,-17.064100000000003
204,-22.0685,2.2487,-19.8198
205,-16.0431,-0.566,-16.609099999999998
206,-15.5697,-0.1802,-15.749899999999998
207,-20.1721,0.8672,-19.3049
208,-18.7827,0.2952,-18.487499999999997
209,-18.3874,0.2548,-18.1326
210,-16.968,-0.5803,-17.5483
211,-15.6651,-0.6477,-16.3128
212,-19.3172,-0.202,-19.5192
213,-16.2814,-0.6477,-16.929100000000002
214,-19.4139,1.8789,-17.535
215,-20.0394,0.3141,-19.7253
216,-18.166,-0.5562,-18.7222
217,-18.3757,-0.4497,-18.8254
218,-13.0486,-0.8591,-13.9077
219,-17.204,-0.1526,-17.3566
220,-18.0633,-0.4993,-18.562600000000003
221,-20.6596,0.7697,-19.8899
222,-17.8243,-0.5163,-18.340600000000002
223,-21.1742,1.1953,-19.9789
224,-21.0506,1.8215,-19.2291
225,-20.6057,0.1609,-20.444799999999997
226,-16.2051,-0.3603,-16.5654
227,-15.4267,-0.6381,-16.0648
228,-13.9221,-0.7517,-14.6738
229,-16.0078,-0.7315,-16.7393
230,-20.3181,1.5711,-18.747
231,-20.0288,1.5017,-18.5271
232,-20.5488,1.117,-19.4318
233,-16.81,0.0525,-16.7575
234,-21.1346,1.1752,-19.9594
235,-18.1013,-0.0893,-18.1906
236,-17.8593,-0.5143,-18.3736
237,-18.8669,-0.1765,-19.043400000000002
238,-19.3195,0.0832,-19.2363
239,-16.8949,-0.3006,-17.1955
240,-18.6346,0.1339,-18.5007
241,-18.9431,-0.018,-18.961100000000002
242,-15.6374,-0.6783,-16.3157
243,-18.1709,-0.0111,-18.182
244,-20.4907,1.4048,-19.0859
245,-19.5024,0.56,-18.942400000000003
246,-15.326,-0.7471,-16.0731
247,-18.5311,-0.0906,-18.621699999999997
248,-21.5651,2.1946,-19.3705
249,-22.4953,1.6329,-20.8624
250,-17.8504,-0.3169,-18.1673
251,-19.5553,0.4299,-19.1254
252,-16.9632,0.2882,-16.675
253,-22.4125,1.0663,-21.346200000000003
254,-16.5055,-0.7046,-17.2101
255,-13.7063,-0.8272,-14.5335
256,-18.2098,-0.3843,-18.5941
257,-21.531,2.4839,-19.0471
258,-18.8808,0.2073,-18.6735
259,-19.2169,1.2064,-18.0105
260,-18.9378,0.053,-18.8848
261,-17.3052,-0.3335,-17.6387
262,-17.3745,0.0549,-17.3196
263,-19.2735,0.0952,-19.1783
264,-18.02,-0.0787,-18.0987
265,-16.3284,-0.1152,-16.4436
266,-17.9821,-0.0256,-18.0077
267,-14.5533,-0.7692,-15.3225
268,-18.8446,0.0202,-18.8244
269,-21.0359,1.1409,-19.895000000000003
270,-19.6088,-0.0131,-19.6219
271,-19.8651,0.9471,-18.918000000000003
272,-19.9174,0.667,-19.2504
273,-17.4391,0.0076,-17.4315
274,-20.6669,1.1431,-19.523799999999998
275,-17.6189,-0.0268,-17.6457
276,-17.1254,-0.5936,-17.718999999999998
277,-17.8719,-0.3417,-18.2136
278,-21.2951,1.1183,-20.1768
279,-22.0268,1.9014,-20.125400000000003
280,-20.3245,0.6445,-19.68
281,-19.8967,0.3417,-19.555
282,-19.4984,0.6952,-18.8032
283,-15.0396,-0.7469,-15.7865
284,-17.9896,0.0084,-17.981199999999998
285,-18.3475,-0.4845,-18.832
286,-16.8529,-0.268,-17.120900000000002
287,-18.4563,-0.1231,-18.5794
288,-15.5511,-0.7225,-16.2736
289,-18.0936,0.3939,-17.6997
290,-20.0182,0.3291,-19.6891
291,-16.3148,-0.3856,-16.700400000000002
292,-15.5633,-0.7132,-16.2765
293,-19.945,0.8421,-19.1029
294,-20.4141,0.7029,-19.7112
295,-18.0121,-0.1014,-18.113500000000002
296,-19.4547,1.2814,-18.173299999999998
297,-20.0834,0.3377,-19.7457
298,-19.0111,0.2418,-18.769299999999998
299,-21.2757,1.4585,-19.8172
300,-18.6881,0.0959,-18.5922
301,-16.9687,-0.2714,-17.240099999999998
302,-15.2593,-0.7971,-16.0564
303,-18.7084,0.0472,-18.6612
304,-21.1903,0.9084,-20.2819
305,-15.0661,-0.7586,-15.8247
306,-18.9175,0.5616,-18.355900000000002
307,-16.0464,-0.6051,-16.6515
308,-18.957,-0.0754,-19.0324
309,-20.6241,0.6729,-19.9512
310,-19.9099,0.8141,-19.0958
311,-15.3835,-0.7286,-16.112099999999998
312,-14.2979,-0.8033,-15.1012
313,-17.8976,-0.2029,-18.1005
314,-16.1825,-0.0774,-16.259900000000002
315,-19.8901,0.4385,-19.4516
316,-18.0334,-0.3217,-18.3551
317,-19.7571,0.0262,-19.730900000000002
318,-17.7566,-0.1247,-17.8813
319,-16.9964,-0.4035,-17.399900000000002
320,-18.622,-0.0855,-18.7075
321,-19.9632,0.0518,-19.9114
322,-19.647,0.78,-18.866999999999997
323,-21.497,2.1804,-19.3166
324,-13.6209,-0.8047,-14.425600000000001
325,-14.4159,-0.7821,-15.198
326,-19.6581,0.3715,-19.2866
327,-19.3798,0.8934,-18.4864
328,-15.5228,-0.7362,-16.259
329,-16.3696,-0.469,-16.8386
330,-15.6262,-0.7106,-16.3368
331,-18.3437,-0.2796,-18.623299999999997
332,-20.3262,1.3008,-19.0254
333,-12.4276,-0.6774,-13.105
334,-19.4051,0.4742,-18.9309
335,-20.4389,1.2487,-19.1902
336,-20.2325,0.6371,-19.5954
337,-18.602,-0.0987,-18.7007
338,-20.7439,0.9089,-19.835
339,-15.8705,-0.4945,-16.365
340,-20.0091,0.6188,-19.3903
341,-18.9079,-0.0394,-18.947300000000002
342,-20.3406,1.4531,-18.8875
343,-17.5923,-0.5043,-18.096600000000002
344,-17.9886,-0.2013,-18.1899
345,-18.3909,-0.199,-18.5899
346,-15.5633,-0.6313,-16.1946
347,-20.0368,0.7732,-19.2636
348,-16.5819,-0.2127,-16.794600000000003
349,-21.5359,1.9526,-19.5833
350,-18.7048,0.1758,-18.529
351,-14.7718,-0.797,-15.568800000000001
352,-20.9375,1.4105,-19.527
353,-18.7007,0.9575,-17.7432
354,-21.3581,1.7594,-19.5987
355,-19.1486,0.9003,-18.248299999999997
356,-11.7993,-0.7486,-12.5479
357,-17.8464,0.4609,-17.3855
358,-20.051,1.0247,-19.0263
359,-16.6631,-0.6294,-17.2925
360,-13.9452,-0.8398,-14.785
361,-17.2728,0.5149,-16.7579
362,-18.178,-0.5671,-18.7451
363,-13.445,-0.7889,-14.2339
364,-14.6823,-0.6741,-15.356399999999999
365,-17.0844,-0.6443,-17.7287
366,-18.2176,-0.5285,-18.746100000000002
