Distance,WAT
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0
1.62,0
1.63,0
1.64,0
1.65,0
1.66,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,0
1.72,0
1.73,0
1.74,0
1.75,0
1.76,0
1.77,0
1.78,0
1.79,0
1.8,0
1.81,0
1.82,0
1.83,0
1.84,0
1.85,0
1.86,0
1.87,0
1.88,0
1.89,0
1.9,0
1.91,0
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,0
1.99,0
2,0
2.01,0
2.02,0
2.03,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0
2.1,0
2.11,0
2.12,0
2.13,0
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0
2.25,0.001128789
2.26,0.001119199
2.27,0
2.28,0
2.29,0.004359312
2.3,0.004322989
2.31,0.008570573
2.32,0.015932038
2.33,0.021059901
2.34,0.03445552
2.35,0.036230821
2.36,0.058508582
2.37,0.055981873
2.38,0.092858967
2.39,0.125115411
2.4,0.159805776
2.41,0.185071183
2.42,0.259688746
2.43,0.294357053
2.44,0.383188775
2.45,0.419133443
2.46,0.496991239
2.47,0.607332412
2.48,0.640571271
2.49,0.671410254
2.5,0.671556148
2.51,0.697083134
2.52,0.728489389
2.53,0.733484544
2.54,0.743682727
2.55,0.689508043
2.56,0.668432318
2.57,0.657198133
2.58,0.609169212
2.59,0.574627139
2.6,0.518616374
2.61,0.418952304
2.62,0.427422898
2.63,0.38863384
2.64,0.334821792
2.65,0.269590945
2.66,0.250598613
2.67,0.200584121
2.68,0.188739747
2.69,0.166792256
2.7,0.144372318
2.71,0.116054049
2.72,0.094324859
2.73,0.086730827
2.74,0.059434295
2.75,0.056732202
2.76,0.053318981
2.77,0.036530521
2.78,0.042194966
2.79,0.035277417
2.8,0.018242004
2.81,0.026808741
2.82,0.017984862
2.83,0.012858198
2.84,0.012058239
2.85,0.007748677
2.86,0.013290485
2.87,0.009725616
2.88,0.002069607
2.89,0.003424969
2.9,0.005442427
2.91,0.002702452
2.92,0.003355319
2.93,0.003332541
2.94,0.00198593
2.95,0.001315083
2.96,0.001306331
2.97,0.00194613
2.98,0.002577778
2.99,0.001280317
3,0
3.01,0
3.02,0.000627212
3.03,0
3.04,0
3.05,0
3.06,0.000611268
3.07,0
3.08,0.000603356
3.09,0.0005994
3.1,0
3.11,0
3.12,0
3.13,0
3.14,0
3.15,0
3.16,0
3.17,0
3.18,0
3.19,0
3.2,0
3.21,0
3.22,0
3.23,0
3.24,0
3.25,0
3.26,0
3.27,0
3.28,0
3.29,0
3.3,0
3.31,0
3.32,0
3.33,0
3.34,0
3.35,0
3.36,0
3.37,0
3.38,0
3.39,0
3.4,0
3.41,0
3.42,0
3.43,0
3.44,0
3.45,0
3.46,0
3.47,0.000475324
3.48,0
3.49,0
3.5,0
3.51,0
3.52,0
3.53,0
3.54,0.000456862
3.55,0.000454345
3.56,0
3.57,0
3.58,0.000446792
3.59,0.000444155
3.6,0
3.61,0
3.62,0
3.63,0
3.64,0
3.65,0.001718718
3.66,0.000854744
3.67,0.000850188
3.68,0.001691385
3.69,0.001261376
3.7,0.000418141
3.71,0.001664293
3.72,0.000413705
3.73,0.000822975
3.74,0.00122805
3.75,0.001628808
3.76,0.004050382
3.77,0.003222851
3.78,0.000801397
3.79,0.001594642
3.8,0.002379256
3.81,0.003945247
3.82,0.002354561
3.83,0.002342333
3.84,0.001941935
3.85,0.003090264
3.86,0.003459134
3.87,0.004588163
3.88,0.004184408
3.89,0.005298212
3.9,0.003388645
3.91,0.005244266
3.92,0.008571652
3.93,0.004820011
3.94,0.005164426
3.95,0.006973773
3.96,0.007668597
3.97,0.009447255
3.98,0.007954031
3.99,0.010431829
4,0.01252673
4.01,0.009972928
4.02,0.009568214
4.03,0.012341755
4.04,0.011228311
4.05,0.013617757
4.06,0.012507909
4.07,0.017632534
4.08,0.016171079
4.09,0.020885475
4.1,0.012946669
4.11,0.024073082
4.12,0.014509064
4.13,0.021154246
4.14,0.024394
4.15,0.027269919
4.16,0.024492302
4.17,0.028655731
4.18,0.026224926
4.19,0.02805765
4.2,0.029871912
4.21,0.032962895
4.22,0.032163776
4.23,0.030730732
4.24,0.039826859
4.25,0.047248743
4.26,0.035348506
4.27,0.040211074
4.28,0.042524995
4.29,0.04481674
4.3,0.049565062
4.31,0.047177055
4.32,0.04910844
4.33,0.0552964
4.34,0.062036767
4.35,0.063871049
4.36,0.067195319
4.37,0.067487946
4.38,0.075542436
4.39,0.074601379
4.4,0.070122906
4.41,0.081881805
4.42,0.076233904
4.43,0.08055953
4.44,0.086881396
4.45,0.086202876
4.46,0.082649276
4.47,0.080558811
4.48,0.095327534
4.49,0.083822181
4.5,0.082884121
4.51,0.088150325
4.52,0.09897488
4.53,0.092121586
4.54,0.090881908
4.55,0.101551459
4.56,0.094220563
4.57,0.088324151
4.58,0.096403696
4.59,0.096800499
4.6,0.077701473
4.61,0.087337899
4.62,0.093940044
4.63,0.084983218
4.64,0.094196348
4.65,0.086107811
4.66,0.089431721
4.67,0.078807245
4.68,0.094688095
4.69,0.079957253
4.7,0.081435612
4.71,0.074633867
4.72,0.083318206
4.73,0.074772448
4.74,0.07037885
4.75,0.069574815
4.76,0.069788441
4.77,0.069748641
4.78,0.064945293
4.79,0.062425058
4.8,0.069625405
4.81,0.053242019
4.82,0.062142981
4.83,0.061397568
4.84,0.055274942
4.85,0.049931535
4.86,0.052879142
